id,titulo,descripcion,responsable,estado,categoria,version,frecuencia_actualizacion,notas_internas
cr-adm-limites-barrios,Límites de barrios,"Límites oficiales de barrios de la ciudad de Comodoro Rivadavia, Chubut, Argentina.",rodriguez,publicado,adm,1.0.0,,
cr-equ-espacios-verdes,Espacios verdes,"Espacios verdes de la ciudad de Comodoro Rivadavia, Chubut, Argentina.",rodriguez,publicado,equ,1.0.0,,
cr-equ-playones-deportivos,Playones deportivos,"Playones deportivos de la ciudad de Comodoro Rivadavia, Chubut, Argentina.",navarro,publicado,equ,1.0.0,,
cr-equ-asociaciones-vecinales,Asociaciones vecinales,"Asociaciones vecinales de la ciudad de Comodoro Rivadavia, Chubut, Argentina.",navarro,publicado,equ,2.0.0,,
cr-sal-salud-publica,Infraestructura de salud pública,"Infraestructura de salud pública de la ciudad de Comodoro Rivadavia, Chubut, Argentina.",rodriguez,publicado,sal,1.0.0,,
cr-cen-radios-nbi,Necesidades básicas insatisfechas,"Necesidades básicas insatisfechas por radio censal de la ciudad de Comodoro Rivadavia, Chubut, Argentina.",rodriguez,publicado,cen,1.0.0,,
cr-cen-radios-edad-grupos,Edad en grandes grupos por radio censal,"Edad en grandes grupos por radio censal de la ciudad de Comodoro Rivadavia, Chubut, Argentina.",rodriguez,publicado,cen,1.0.0,,
cr-cen-radios-densidad-poblacion,Densidad de población por radio censal,"Densidad de población por radio censal de la ciudad de Comodoro Rivadavia, Chubut, Argentina.",rodriguez,publicado,cen,1.0.0,,
cr-cen-radios-cobertura-salud,Cobertura de salud por radio censal,"Cobertura de salud por radio censal de la ciudad de Comodoro Rivadavia, Chubut, Argentina.",rodriguez,publicado,cen,1.0.0,,
cr-cen-radios-densidad-viviendas,Densidad de viviendas por radio censal,"Densidad de viviendas por radio censal de la ciudad de Comodoro Rivadavia, Chubut, Argentina.",rodriguez,publicado,cen,1.0.0,,
